Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.805207242,-2.391027927,9.824331284,-2.059023857,10.31862777
0.807713857,-2.357528448,9.814760208,-2.059023857,10.30179778
0.810220524,-2.371885538,9.795618057,-2.015953064,10.2783287
0.812727294,-2.381456852,9.800403595,-1.915454507,10.26587616
0.815233961,-2.381456852,9.867402077,-1.905883193,10.32808555
0.817740472,-2.367099762,9.862616539,-1.834098577,10.30719573
0.820246878,-2.35274291,9.929615974,-1.700100541,10.34519282
0.822753388,-2.35274291,9.977472305,-1.551147223,10.36780645
0.825260263,-2.33838582,10.00618649,-1.407577872,10.37174487
0.82776693,-2.357528448,10.06361389,-1.3310076,10.42141287
0.830273544,-2.367099762,10.05404282,-1.311864972,10.41191279
0.832780472,-2.357528448,10.03011417,-1.340578914,10.39029752
0.835287294,-2.300100803,10.02532864,-1.374078393,10.37717541
0.837794013,-2.319243431,9.977472305,-1.493719578,10.35181346
0.840300576,-2.25703001,9.977472305,-1.680359721,10.36666518
0.842807503,-2.233101845,9.963115692,-1.824527264,10.37204502
0.845314482,-2.209173441,9.953543663,-1.929811478,10.37678424
0.847821409,-2.180459738,9.920044899,-2.025524378,10.35685495
0.850328232,-2.108675003,9.991828918,-2.02073884,10.40992511
0.852834951,-2.036890268,10.04447079,-1.929811478,10.42902142
0.855341722,-2.003390789,10.05404282,-1.829312921,10.41363228
0.857848492,-1.917249203,10.05404282,-1.656431437,10.36838399
0.860355107,-1.845464468,10.11147022,-1.498505235,10.38715972
0.862861982,-1.816152334,10.14496994,-1.402792215,10.40128119
0.865368701,-1.734796405,10.20718288,-1.445863128,10.45402416
0.867875211,-1.720439434,10.24128056,-1.508076429,10.49371401
0.87038193,-1.615155339,10.30827999,-1.589432478,10.55441418
0.87288844,-1.572084427,10.29870892,-1.594218135,10.53927826
0.875395159,-1.462014675,10.30827999,-1.627717614,10.53791193
0.877901878,-1.37587297,10.30349445,-1.584646821,10.51504303
0.880408597,-1.265803218,10.29392338,-1.541576028,10.48539808
0.882915211,-1.189232826,10.28913784,-1.407577872,10.45284209
0.885421826,-1.002592683,10.24606609,-1.297508121,10.37644399
0.88792844,-0.8494520187,10.2221384,-1.20179522,10.32753572
0.890435107,-0.7345965505,10.20718288,-1.206580877,10.30446757
0.892941826,-0.6334998012,10.19282627,-1.24965167,10.28866652
0.895448701,-0.4755735099,10.21196842,-1.345364571,10.31118204
0.897955419,-0.3224328458,10.21196842,-1.431506157,10.31685378
0.900462086,-0.1645065546,10.27478027,-1.493719578,10.38409217
0.902968597,-0.06400800496,10.33220863,-1.512862086,10.44257554
0.905475211,0.08434699476,10.47577763,-1.398006678,10.56898547
0.907982034,0.1992024779,10.66720295,-1.340578914,10.75295551
0.910489013,0.314057976,10.84427261,-1.287936807,10.9250017
0.912995888,0.3571287692,11.04048347,-1.383649707,11.13257844
0.915502503,0.4295116663,11.23669529,-1.565504193,11.35335213
0.918009222,0.5252245665,11.37129116,-1.752742529,11.5175618
0.920515888,0.6161518097,11.495718,-1.996810555,11.68411006
0.923022659,0.6544370055,11.57707405,-2.183450699,11.79933847
0.925529378,0.7262216806,11.58664513,-2.221735716,11.82006146
0.928036253,0.7597211599,11.60578823,-2.255235434,11.84726059
0.930543076,0.8123632669,11.56750298,-2.202593327,11.80332481
0.93304969,0.7836494446,11.47657585,-2.035095692,11.6819311
0.935556357,0.7932206988,11.3952198,-1.905883193,11.5807005
0.938062919,0.7357929349,11.29890823,-1.7670995,11.45990223
0.940569847,0.6400800347,11.21276665,-1.728814363,11.36330222
0.943076774,0.5443671346,11.09791183,-1.704886079,11.24129082
0.945583597,0.4390829504,10.98305607,-1.848455548,11.14616985
0.948090315,0.3571287692,10.89212894,-1.948953986,11.07088233
0.950597347,0.2231307179,10.82034397,-2.087737799,11.0221722
0.953104222,0.1369891018,10.79162979,-2.207378864,11.01592307
0.955611201,0.03170489892,10.75813103,-2.288734913,10.99894067
0.958118128,-0.05443671346,10.74377346,-2.336591244,10.99505753
0.960624794,-0.1597209126,10.76291656,-2.379662037,11.0240045
0.963131409,-0.2745763958,10.79162979,-2.370090723,11.0522394
0.965638076,-0.3655036688,10.82991505,-2.398804665,11.09841956
0.968144794,-0.5186443329,10.8682003,-2.42273283,11.14703567
0.970651409,-0.6334998012,10.94477081,-2.51844573,11.24863988
0.97315818,-0.8398807645,11.01655579,-2.604587555,11.35137778
0.975665003,-0.993021369,11.06441212,-2.805584431,11.45768785
0.978171774,-1.194018483,11.09791183,-2.997608662,11.55746447
0.980678388,-1.385444283,11.16969585,-3.208176851,11.70358749
0.983185263,-1.581655741,11.18405342,-3.260818958,11.75659926
0.985691878,-1.749153376,11.1936245,-3.222533941,11.77885784
0.988198544,-1.883749604,11.21276665,-3.107678413,11.78695523
0.990705472,-2.017747641,11.18883896,-2.983251572,11.75419979
0.993212294,-2.180459738,11.15533924,-2.930609465,11.73816298
0.995719169,-2.285743713,11.12183952,-2.901895761,11.719255
0.998226044,-2.38624239,11.08355427,-2.983251572,11.72344309
1.000732607,-2.491526604,11.00219822,-3.131606579,11.70739212
1.003239222,-2.639881611,10.95912743,-3.279961586,11.74008505
1.005745732,-2.730808735,10.91605663,-3.375674486,11.74788436
1.008252659,-2.836092949,10.80120182,-3.500101328,11.70299506
1.010759274,-2.893520832,10.71506023,-3.552743435,11.65362452
1.013266044,-2.999403238,10.63848972,-3.49531579,11.59271823
1.015772867,-3.066402197,10.57627583,-3.461816072,11.54316262
1.018279586,-3.152543783,10.51884842,-3.457030535,11.51241784
1.020786357,-3.238685369,10.4279213,-3.524029493,11.47385765
1.02329318,-3.391826153,10.41356373,-3.4809587,11.49190444
1.025800159,-3.387040377,10.3848505,-3.428316593,11.44860328
1.028307086,-3.410968781,10.43749237,-3.198605776,11.43709027
1.030814065,-3.377469063,10.4279213,-2.901895761,11.33886409
1.03332094,-3.377469063,10.41835022,-2.62851572,11.26314403
1.035827763,-3.372683525,10.43270683,-2.523231506,11.25091389
1.038334638,-3.382254839,10.43749237,-2.575873613,11.2701384
1.040841409,-3.396611691,10.40399265,-2.705085993,11.27375378
1.04334844,-3.324826956,10.34177971,-2.767299414,11.21003247
1.045855367,-3.281756163,10.24128056,-2.752942562,11.10101093
1.048362347,-3.238685369,10.09711361,-2.690729141,10.93987246
1.050869222,-3.214757204,9.924830437,-2.599801779,10.75155302
1.053376097,-3.190829039,9.714262009,-2.580659151,10.54552407
1.055883076,-3.195614576,9.522835732,-2.633301258,10.38415275
1.058390107,-3.272184849,9.273982048,-2.839682341,10.23609948
1.060896982,-3.358326674,9.081958771,-2.868396044,10.09891227
1.063403805,-3.44446826,8.857032776,-2.844467878,9.919797815
1.065910472,-3.54018116,8.69910717,-2.657229662,9.760543923
1.06841719,-3.63589406,8.584251404,-2.403590441,9.627374761
1.070923909,-3.736392498,8.459824562,-2.092523336,9.481978403
1.07343068,-3.889533281,8.378468513,-1.738385677,9.399424905
1.075937503,-4.004388809,8.330612183,-1.551147223,9.37231491
1.078444169,-4.148556232,8.311469078,-1.508076429,9.410915554
