Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.063956167,10.81496048,24.63889503,-5.717051506
3.073980802,16.13958931,13.3148613,14.53221035
3.084005594,7.621140003,6.343372822,-1.512862086
3.094030802,1.741376638,7.72223711,-4.706682205
3.104055334,-4.770689964,11.16012478,-4.070191383
3.114079969,-9.056235313,11.22712421,-1.287936807
3.124104969,-10.84726334,10.36092186,0.454636306
3.134129917,-9.037093163,9.527621269,-0.076570325
3.144154865,-4.631906509,8.8474617,-1.369292736
3.154179969,-0.623928487,8.416753769,-2.810968399
3.164205177,0.43908295,8.924032211,-5.257629395
3.174230438,-0.513858676,9.63290596,-6.291927338
3.184256532,-0.701097012,9.963115692,-5.171487808
3.194282573,0.99900347,9.876974106,-2.19780755
3.204308302,2.689532757,9.288339615,-2.360519648
3.214333875,2.109871387,8.82831955,-4.950749874
3.224359709,-0.255433828,8.981459618,-5.793622017
3.23438575,-2.534597397,9.364909172,-5.171487808
3.244411532,-3.34875536,9.642477036,-4.821537495
3.254437834,-2.81695056,9.537193298,-4.855037212
3.264464344,-1.931606054,9.111269951,-5.214558601
3.27449049,-1.117448211,9.163912773,-5.669195175
3.284515802,-0.566500783,9.589835167,-4.797609329
3.294541011,-0.66699934,9.848259926,-3.327818155
3.304566167,-1.275374413,9.972686768,-2.695514679
3.314591011,-1.557727575,9.953543663,-2.547159672
3.324615334,-1.021735311,9.79083252,-2.901895761
3.334640907,-0.226719946,9.60419178,-4.242474556
3.344666948,0.342771858,9.503693581,-5.224130154
3.354693355,0.606580555,9.39840889,-5.012963295
3.36471924,0.740578592,9.111269951,-4.194618225
3.374745073,1.066002488,9.010173798,-3.658027649
3.384771063,1.645663738,9.101698875,-3.504886866
3.394796427,2.081157446,9.086744308,-3.509672642
3.404822417,1.980658889,9.149555206,-3.820739508
3.414847938,1.133001566,9.522835732,-4.0127635
3.42487299,-0.207577363,9.675976753,-3.906881094
3.434898511,-1.596012712,9.623334885,-3.485744476
3.444923927,-2.630310297,9.599406242,-3.169891834
3.454949865,-3.243471146,9.73340416,-3.361317635
3.464975542,-3.439682484,9.776474953,-3.629313707
3.475001323,-3.224328518,9.680762291,-3.5766716
3.485027365,-3.190829039,8.455039024,-4.409972191
3.495052573,-3.774677753,9.556335449,-7.522436142
3.505078146,-3.669393539,11.71585751,-3.198605776
3.51510299,-1.696511269,9.652048111,-1.953739643
