Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
4,506187261;0,810219049;1,115379453;1,734868765
4,516187261;1,02537334;1,385198712;2,197213888
4,526187261;1,306846976;1,382332802;2,088058472
4,536187261;1,408699155;1,080587745;1,486383438
4,546187261;1,320904255;0,645104051;0,703653872
4,556187261;1,116037369;0,267129004;0,059505843
4,566187261;0,821424186;0,061488163;-0,246055916
4,576187261;0,510820389;0,047762025;-0,193252921
4,586187261;0,29557243;0,168564394;0,086534403
4,596187261;0,188189596;0,314242661;0,392804146
4,606187261;0,091957569;0,385047317;0,567539036
4,616187261;-0,040749375;0,359645486;0,573213458
4,626187261;-0,124347553;0,300431371;0,490980148
4,636187261;-0,055926591;0,297001153;0,453356504
4,646187261;0,143203035;0,390984684;0,545235276
4,656187261;0,358003855;0,553370059;0,751144409
4,666187261;0,487757534;0,720753789;0,984330118
4,676187261;0,496363938;0,835465491;1,149262071
4,686187261;0,396509022;0,853677928;1,17002964
4,696187261;0,231263027;0,745024979;0,994590938
4,706187261;0,105443105;0,507210255;0,605830252
4,716187261;0,111246347;0,17123659;0,038739372
4,726187261;0,127004847;-0,199005067;-0,592781186
4,736187261;-0,071543492;-0,509905875;-1,101355195
4,746187261;-0,46552828;-0,652484;-1,293233752
4,756187261;-0,761752248;-0,549896181;-1,087725997
4,766187261;-0,741870522;-0,238701522;-0,597511292
4,776187261;-0,519264936;0,11833778;-0,074660696
4,786187261;-0,321695;0,352432698;0,250314385
4,796187261;-0,232317001;0,413905948;0,315110326
4,806187261;-0,201593146;0,361731082;0,209145561
4,816187261;-0,160458386;0,271278888;0,041000627
4,826187261;-0,087445714;0,180019706;-0,140649006
4,836187261;0,003414235;0,091047324;-0,330475986
4,846187261;0,067197718;-0,006874248;-0,527754247
4,856187261;0,051470093;-0,116536446;-0,724311709
4,866187261;-0,051790543;-0,220915988;-0,901155651
4,876187261;-0,175275758;-0,285085946;-1,019741535
4,886187261;-0,232148796;-0,27761656;-1,04221034
4,896187261;-0,209419176;-0,2044985;-0,974797547
4,906187261;-0,144152671;-0,103891954;-0,872020245
4,916187261;-0,065128095;-0,015365653;-0,791268826
4,926187261;0,003348228;0,042464476;-0,7463153
4,936187261;0,019552801;0,069679342;-0,712237895
4,946187261;-0,046115056;0,078690283;-0,652905583
4,956187261;-0,162833557;0,100622512;-0,538039505
4,966187261;-0,273130268;0,17078732;-0,355677664
4,976187261;-0,346212119;0,298032761;-0,120335005
4,986187261;-0,380872935;0,450864226;0,122478083
4,996187261;-0,381003886;0,578827202;0,312945962
5,006187261;-0,354159504;0,64820528;0,407847196
5,016187261;-0,316187739;0,663707197;0,405800998
5,026187261;-0,258391678;0,664554656;0,349910617
5,036187261;-0,155168295;0,691938758;0,304005295
5,046187261;-0,026425986;0,760946333;0,322590351
5,056187261;0,063800514;0,876230836;0,445459157
5,066187261;0,077472359;1,057140589;0,701501191
5,076187261;0,03489184;1,312622547;1,077931523
5,086187261;-0,020816505;1,598917961;1,494134903
5,096187261;-0,047353212;1,835262418;1,835560441
5,106187261;-0,007393782;1,972901702;2,040039778
5,116187261;0,126283035;2,030043125;2,142702103
5,126187261;0,351428747;2,04309535;2,211826801
5,136187261;0,635820568;2,007620096;2,261305094
5,146187261;0,915661097;1,871486068;2,211149693
5,156187261;1,070474863;1,591738105;1,944168687
5,166187261;0,901197195;1,203302145;1,410791159
5,176187261;0,280073702;0,769786954;0,629086852
5,186187261;-0,594354689;0,262537301;-0,403916627
5,196187261;-1,186930418;-0,448508233;-1,754932642
5,206187261;-1,003140926;-1,369301915;-3,39655447
5,216187261;-0,11963129;-2,208836317;-5,030169487
5,226187261;0,818986237;-2,578810692;-6,111699581
5,236187261;1,196171284;-2,352968693;-6,184008121
5,246187261;0,942477822;-1,739479661;-5,314317703
5,256187261;0,401763976;-1,04531157;-4,021573544
5,266187261;-0,096077651;-0,523427606;-2,891605616
5,276187261;-0,406094849;-0,30485484;-2,264569044
5,286187261;-0,507651031;-0,34383589;-2,121623755
5,296187261;-0,435990423;-0,483931303;-2,224872589
5,306187261;-0,283282459;-0,583297551;-2,318437815
5,316187261;-0,131743461;-0,590831876;-2,281555176
5,326187261;-0,010695167;-0,539057314;-2,145816088
5,336187261;0,059883781;-0,494453996;-2,000392437
5,346187261;0,050777026;-0,511761546;-1,91015625
5,356187261;-0,04615232;-0,598863363;-1,875861645
5,366187261;-0,204568759;-0,719782829;-1,848756433
5,376187261;-0,357861191;-0,835549593;-1,812396526
5,386187261;-0,417033821;-0,934151411;-1,828312516
5,396187261;-0,337557822;-1,018479943;-1,947458386
5,406187261;-0,195934698;-1,100204349;-2,106271982
5,416187261;-0,139879286;-1,183283091;-2,140024662
5,426187261;-0,235852599;-1,227526546;-1,899457932
5,436187261;-0,40311709;-1,155857325;-1,364385486
5,446187261;-0,493361712;-0,913805485;-0,645611882
5,456187261;-0,444126248;-0,542190492;0,107872568
5,466187261;-0,328187048;-0,154474154;0,808713675
